removed_feat,auc,f1,auc_drop,f1_drop
（全特征基准）,0.834877,0.703704,0.0,0.0
TRANSPORTATION_DISTANCE_IN_KM,0.84091,0.674809,-0.6033,2.8895
is_market,0.834877,0.703704,0.0,0.0
start_weekday,0.841208,0.713855,-0.6331,-1.0152
start_month,0.855536,0.730506,-2.0658,-2.6802
planned_days_enc,0.610068,0.392157,22.4809,31.1547
supplier_is_large,0.834877,0.703704,0.0,0.0
vehicleType,0.832677,0.689655,0.22,1.4049
OriginLocation_Code,0.848555,0.70624,-1.3677,-0.2537
DestinationLocation_Code,0.853679,0.672052,-1.8801,3.1652
GpsProvider,0.811697,0.715373,2.3181,-1.1669
booking_prefix,0.795497,0.679305,3.9381,2.4399
origin_city,0.843459,0.714724,-0.8581,-1.102
dest_city,0.84549,0.708589,-1.0612,-0.4885
customerID,0.878347,0.724458,-4.3469,-2.0755
Minimum_kms_to_be_covered_in_a_day,0.853179,0.697108,-1.8301,0.6596
